work_id,mp_name,state,district,work_category,sanctioned_amount,released_amount,status,vendor,implementing_agency,ensemble_score,network_risk_flag,top_flag_reasons,flagged_by_model
MPLADS-103809,MP_BIH_1,Bihar,Gaya,Solar Power Installation,3371000,3262911,Completed,Vendor Pvt Ltd 118,Implementing Agency 51,0.22478202796615965,1,"desc_generic_flag, days_sanction_to_completion, amount_zscore_in_category",False
MPLADS-101402,MP_DAD_4,Dadara & Nagar Havelli,Silvassa,Irrigation Facility,8709000,0,Sanctioned,Vendor Pvt Ltd 91,Implementing Agency 58,0.223892165115588,0,"desc_generic_flag, amount_zscore_in_category, release_ratio",False
MPLADS-105265,MP_SIK_2,Sikkim,Namchi,Library/Reading Room,455000,0,Sanctioned,Vendor Pvt Ltd 115,Implementing Agency 55,0.22376634906947754,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-103547,MP_HIM_5,Himachal Pradesh,Shimla,Street Lighting,1480000,1402713,Completed,Vendor Pvt Ltd 8,Implementing Agency 40,0.22363809601268833,0,"days_rec_to_sanction, desc_generic_flag, release_ratio",False
MPLADS-104246,MP_HIM_3,Himachal Pradesh,Shimla,Sanitation/Toilets,1480000,1406151,Completed,Vendor Pvt Ltd 26,Implementing Agency 29,0.22350303989210704,0,"desc_generic_flag, amount_zscore_in_category, days_rec_to_sanction",False
MPLADS-102851,MP_HIM_3,Himachal Pradesh,Shimla,Library/Reading Room,2136000,2084668,Completed,Vendor Pvt Ltd 24,Implementing Agency 43,0.22309130354909257,1,"days_rec_to_sanction, amount_zscore_in_category, release_ratio",False
MPLADS-105798,MP_MAH_2,Maharashtra,Thane,Railway Halt Amenities,1976000,0,Sanctioned,Vendor Pvt Ltd 53,Implementing Agency 1,0.22290574340857064,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-102495,MP_SIK_2,Sikkim,Namchi,CCTV Installation,365000,338323,Completed,Vendor Pvt Ltd 39,Implementing Agency 26,0.2228780506720136,0,"desc_generic_flag, amount_zscore_in_category, days_rec_to_sanction",False
MPLADS-100384,MP_JAM_1,Jammu & Kashmir,Jammu,Street Lighting,345000,0,Sanctioned,Vendor Pvt Ltd 75,Implementing Agency 50,0.2228684859361441,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-104810,MP_MAD_3,Madhya Pradesh,Bhopal,Street Lighting,1635000,1540219,Completed,Vendor Pvt Ltd 54,Implementing Agency 6,0.22275106655441412,0,"desc_generic_flag, days_rec_to_sanction, amount_zscore_in_category",False
MPLADS-100090,MP_MAH_1,Maharashtra,Aurangabad,Railway Halt Amenities,8325000,0,Sanctioned,Vendor Pvt Ltd 56,Implementing Agency 38,0.22262494905739694,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-104180,MP_ASS_2,Assam,Guwahati,Irrigation Facility,7983000,7526163,Completed,Vendor Pvt Ltd 101,Implementing Agency 2,0.22258649532928101,0,"days_sanction_to_completion, amount_zscore_in_category, days_rec_to_sanction",False
MPLADS-105490,MP_MAD_1,Madhya Pradesh,Bhopal,Sanitation/Toilets,768000,0,Recommended,Vendor Pvt Ltd 108,Implementing Agency 29,0.22234432565850273,0,"desc_generic_flag, release_ratio, days_rec_to_sanction",False
MPLADS-103878,MP_DAD_2,Dadara & Nagar Havelli,Silvassa,School Infrastructure,2395000,2367828,Completed,Vendor Pvt Ltd 1,Implementing Agency 4,0.22233245179250574,1,"days_rec_to_sanction, days_sanction_to_completion, release_ratio",False
MPLADS-103296,MP_BIH_1,Bihar,Bhagalpur,Solar Power Installation,3260000,3166753,Completed,Vendor Pvt Ltd 32,Implementing Agency 22,0.222332032000685,0,"desc_generic_flag, days_sanction_to_completion, amount_zscore_in_category",False
MPLADS-101823,MP_KAR_1,Karnataka,Hubli,Street Lighting,229000,150861,In Progress,Vendor Pvt Ltd 25,Implementing Agency 48,0.22223011739063556,0,"desc_generic_flag, amount_zscore_in_category, days_rec_to_sanction",False
MPLADS-100757,MP_RAJ_3,Rajasthan,Udaipur,Drinking Water Supply,4088000,0,Recommended,Vendor Pvt Ltd 52,Implementing Agency 30,0.2219864506615093,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-103158,MP_HAR_3,Haryana,Gurugram,Street Lighting,839000,262794,In Progress,Vendor Pvt Ltd 10,Implementing Agency 7,0.22195399029960566,0,"desc_generic_flag, days_rec_to_sanction, release_ratio",False
MPLADS-103320,MP_KER_1,Kerala,Kochi,Railway Halt Amenities,1651988,0,Recommended,Vendor Pvt Ltd 1,Implementing Agency 41,0.22176667582637988,1,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-104756,MP_GUJ_2,Gujarat,Rajkot,Health Facility Upgrade,3503148,2634487,Completed,Vendor Pvt Ltd 1,Implementing Agency 58,0.2215721403203297,1,"desc_generic_flag, days_rec_to_sanction, days_sanction_to_completion",False
MPLADS-100929,MP_WES_2,West Bengal,Malda,Street Lighting,1084000,1073273,Completed,Vendor Pvt Ltd 119,Implementing Agency 49,0.2213868808807813,0,"desc_generic_flag, days_rec_to_sanction, days_sanction_to_completion",False
MPLADS-105782,MP_MAD_1,Madhya Pradesh,Bhopal,Street Lighting,276000,84183,In Progress,Vendor Pvt Ltd 68,Implementing Agency 26,0.22136884572610135,0,"desc_generic_flag, amount_zscore_in_category, days_rec_to_sanction",False
MPLADS-102191,MP_KAR_3,Karnataka,Hubli,Community Hall Construction,7660000,0,Recommended,Vendor Pvt Ltd 58,Implementing Agency 40,0.2207604861283277,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-101773,MP_DAD_3,Dadara & Nagar Havelli,Silvassa,Irrigation Facility,8764000,8075231,Completed,Vendor Pvt Ltd 85,Implementing Agency 22,0.2207548260565242,0,"desc_generic_flag, amount_zscore_in_category, days_sanction_to_completion",False
MPLADS-100494,MP_MIZ_3,Mizoram,Lunglei,Solar Power Installation,3423000,3023564,In Progress,Vendor Pvt Ltd 92,Implementing Agency 53,0.22073680559925984,0,"desc_generic_flag, amount_zscore_in_category, days_rec_to_sanction",False
MPLADS-102653,MP_AND_1,Andhra Pradesh,Visakhapatnam,Street Lighting,522000,261000,In Progress,Vendor Pvt Ltd 99,Implementing Agency 7,0.22039255121168644,0,"desc_generic_flag, days_rec_to_sanction, amount_zscore_in_category",False
MPLADS-104574,MP_KAR_1,Karnataka,Hubli,Drinking Water Supply,3464000,2057766,In Progress,Vendor Pvt Ltd 113,Implementing Agency 60,0.22016058891046894,0,"desc_generic_flag, days_rec_to_sanction, amount_zscore_in_category",False
MPLADS-100363,MP_TAM_1,Tamil Nadu,Chennai,Drinking Water Supply,4115000,2537813,In Progress,Vendor Pvt Ltd 119,Implementing Agency 3,0.21966089155035412,0,"desc_generic_flag, days_rec_to_sanction, amount_zscore_in_category",False
MPLADS-101743,MP_ARU_2,Arunanchal Pradesh,Tawang,Road Construction/Repair,2966000,0,Recommended,Vendor Pvt Ltd 40,Implementing Agency 25,0.2193527349917799,0,"days_rec_to_sanction, release_ratio, amount_zscore_in_category",False
MPLADS-102338,MP_TEL_1,Telangana,Warangal,Street Lighting,665000,332500,In Progress,Vendor Pvt Ltd 47,Implementing Agency 56,0.2190937571898015,0,"desc_generic_flag, days_rec_to_sanction, days_sanction_to_completion",False
MPLADS-100172,MP_BIH_2,Bihar,Bhagalpur,Irrigation Facility,2782000,856517,In Progress,Vendor Pvt Ltd 44,Implementing Agency 14,0.21908664471812847,0,"desc_generic_flag, amount_zscore_in_category, release_ratio",False
MPLADS-101296,MP_UTT_1,Uttar Pradesh,Agra,Irrigation Facility,1075000,0,Sanctioned,Vendor Pvt Ltd 12,Implementing Agency 4,0.21878766302530758,0,"desc_generic_flag, amount_zscore_in_category, release_ratio",False
MPLADS-105425,MP_GUJ_1,Gujarat,Ahmedabad,Health Facility Upgrade,2013000,1905253,Completed,Vendor Pvt Ltd 25,Implementing Agency 10,0.21872440132941173,0,"desc_generic_flag, days_sanction_to_completion, days_rec_to_sanction",False
MPLADS-100435,MP_WES_1,West Bengal,Darjeeling,Sanitation/Toilets,237000,78122,In Progress,Vendor Pvt Ltd 63,Implementing Agency 54,0.21871423300194065,0,"desc_generic_flag, amount_zscore_in_category, days_sanction_to_completion",False
MPLADS-100862,MP_WES_1,West Bengal,Malda,Sanitation/Toilets,850000,373089,In Progress,Vendor Pvt Ltd 24,Implementing Agency 7,0.21852437677503583,0,"desc_generic_flag, days_rec_to_sanction, days_sanction_to_completion",False
MPLADS-101880,MP_UTT_1,Uttarakhand,Dehradun,Sanitation/Toilets,1466000,495667,In Progress,Vendor Pvt Ltd 111,Implementing Agency 35,0.21837341121337808,0,"desc_generic_flag, amount_zscore_in_category, days_sanction_to_completion",False
MPLADS-101524,MP_HIM_1,Himachal Pradesh,Shimla,Street Lighting,1691000,1689586,Completed,Vendor Pvt Ltd 83,Implementing Agency 38,0.21836068660867636,0,"desc_generic_flag, days_sanction_to_completion, amount_zscore_in_category",False
MPLADS-100055,MP_AND_2,Andhra Pradesh,Vijayawada,Sanitation/Toilets,1273000,1267374,Completed,Vendor Pvt Ltd 60,Implementing Agency 54,0.2181329284842984,0,"desc_generic_flag, days_rec_to_sanction, amount_zscore_in_category",False
MPLADS-101008,MP_MIZ_2,Mizoram,Aizawl,Street Lighting,1099000,1052446,Completed,Vendor Pvt Ltd 40,Implementing Agency 10,0.21811305593029778,0,"days_sanction_to_completion, desc_generic_flag, days_rec_to_sanction",False
MPLADS-100003,MP_BIH_1,Bihar,Bhagalpur,Library/Reading Room,396000,0,Sanctioned,Vendor Pvt Ltd 71,Implementing Agency 31,0.21807670045982921,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-102151,MP_MAH_2,Maharashtra,Thane,Road Construction/Repair,8689000,8240945,Completed,Vendor Pvt Ltd 68,Implementing Agency 52,0.2179677110164993,0,"desc_generic_flag, amount_zscore_in_category, days_sanction_to_completion",False
MPLADS-101140,MP_JAM_1,Jammu & Kashmir,Srinagar,Sanitation/Toilets,240000,238664,Completed,Vendor Pvt Ltd 112,Implementing Agency 23,0.2177238925894992,0,"desc_generic_flag, amount_zscore_in_category, days_rec_to_sanction",False
MPLADS-104502,MP_ODI_2,Odisha,Bhubaneswar,Sanitation/Toilets,1304000,0,Recommended,Vendor Pvt Ltd 45,Implementing Agency 12,0.21767990186552122,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-103638,MP_MAN_2,Manipur,Imphal,Anganwadi Center Construction,971000,0,Recommended,Vendor Pvt Ltd 21,Implementing Agency 13,0.2175561607257195,0,"desc_generic_flag, release_ratio, days_rec_to_sanction",False
MPLADS-100341,MP_JAM_2,Jammu & Kashmir,Jammu,Street Lighting,176000,169852,Completed,Vendor Pvt Ltd 105,Implementing Agency 44,0.21746024081409795,0,"desc_generic_flag, amount_zscore_in_category, days_sanction_to_completion",False
MPLADS-100115,MP_GUJ_2,Gujarat,Rajkot,CCTV Installation,860000,843558,Completed,Vendor Pvt Ltd 3,Implementing Agency 19,0.2172813712858766,0,"days_sanction_to_completion, desc_generic_flag, release_ratio",False
MPLADS-100436,MP_UTT_1,Uttar Pradesh,Varanasi,School Infrastructure,832000,828604,Completed,Vendor Pvt Ltd 35,Implementing Agency 21,0.21726189816122804,0,"desc_generic_flag, amount_zscore_in_category, days_rec_to_sanction",False
MPLADS-102012,MP_HAR_2,Haryana,Faridabad,Street Lighting,1386000,0,Recommended,Vendor Pvt Ltd 58,Implementing Agency 53,0.21705861968242257,0,"desc_generic_flag, release_ratio, days_rec_to_sanction",False
MPLADS-103274,MP_MEG_3,Meghalaya,Shillong,Sanitation/Toilets,1379000,0,Recommended,Vendor Pvt Ltd 12,Implementing Agency 18,0.21704014508457614,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-103712,MP_GUJ_2,Gujarat,Vadodara,Railway Halt Amenities,8642000,0,Recommended,Vendor Pvt Ltd 59,Implementing Agency 4,0.21699847823191232,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-105039,MP_KER_2,Kerala,Kozhikode,Library/Reading Room,1066000,1060222,Completed,Vendor Pvt Ltd 25,Implementing Agency 55,0.2167114637125034,0,"desc_generic_flag, days_sanction_to_completion, release_ratio",False
MPLADS-100130,MP_BIH_2,Bihar,Gaya,Railway Halt Amenities,3940000,0,Recommended,Vendor Pvt Ltd 32,Implementing Agency 22,0.21669397663081252,0,"desc_generic_flag, release_ratio, days_rec_to_sanction",False
MPLADS-101039,MP_TAM_3,Tamil Nadu,Coimbatore,Drinking Water Supply,2080000,0,Recommended,Vendor Pvt Ltd 81,Implementing Agency 40,0.21664953966431597,0,"desc_generic_flag, release_ratio, days_rec_to_sanction",False
MPLADS-103052,MP_KER_1,Kerala,Thiruvananthapuram,Drinking Water Supply,4260000,0,Recommended,Vendor Pvt Ltd 60,Implementing Agency 56,0.2166390721383079,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-105200,MP_AND_4,Andhra Pradesh,Vijayawada,Community Hall Construction,5425000,5123515,Completed,Vendor Pvt Ltd 118,Implementing Agency 49,0.21640987896289313,0,"days_sanction_to_completion, days_rec_to_sanction, release_ratio",False
MPLADS-103028,MP_TAM_1,Tamil Nadu,Coimbatore,Anganwadi Center Construction,360000,0,Sanctioned,Vendor Pvt Ltd 118,Implementing Agency 24,0.21635623941570728,0,"desc_generic_flag, amount_zscore_in_category, release_ratio",False
MPLADS-103046,MP_KER_2,Kerala,Thiruvananthapuram,Sanitation/Toilets,271000,217408,In Progress,Vendor Pvt Ltd 51,Implementing Agency 3,0.2163523430912402,0,"desc_generic_flag, days_rec_to_sanction, amount_zscore_in_category",False
MPLADS-101294,MP_MAH_1,Maharashtra,Nagpur,Drinking Water Supply,3868000,3849272,Completed,Vendor Pvt Ltd 55,Implementing Agency 44,0.216161689652176,0,"desc_generic_flag, days_rec_to_sanction, amount_zscore_in_category",False
MPLADS-101497,MP_BIH_2,Bihar,Muzaffarpur,Sanitation/Toilets,1333000,1230761,Completed,Vendor Pvt Ltd 27,Implementing Agency 34,0.2161359164735508,0,"days_sanction_to_completion, amount_zscore_in_category, release_ratio",False
MPLADS-100265,MP_KAR_1,Karnataka,Hubli,Sports Infrastructure,942000,524538,In Progress,Vendor Pvt Ltd 85,Implementing Agency 44,0.21605811695202878,0,"desc_generic_flag, days_rec_to_sanction, amount_zscore_in_category",False
MPLADS-100822,MP_HIM_3,Himachal Pradesh,Shimla,Road Construction/Repair,5461000,5066461,Completed,Vendor Pvt Ltd 83,Implementing Agency 34,0.21601168208182925,0,"days_sanction_to_completion, desc_generic_flag, days_rec_to_sanction",False
MPLADS-103761,MP_NAG_2,Nagaland,Dimapur,Solar Power Installation,689000,647995,Completed,Vendor Pvt Ltd 108,Implementing Agency 14,0.2159543661541271,0,"days_rec_to_sanction, amount_zscore_in_category, days_sanction_to_completion",False
MPLADS-104119,MP_NAG_4,Nagaland,Kohima,Street Lighting,1796000,932603,In Progress,Vendor Pvt Ltd 115,Implementing Agency 60,0.21576526776292884,0,"desc_generic_flag, amount_zscore_in_category, days_rec_to_sanction",False
MPLADS-105802,MP_BIH_2,Bihar,Bhagalpur,Sanitation/Toilets,367000,0,Sanctioned,Vendor Pvt Ltd 88,Implementing Agency 10,0.21572872574276544,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-102065,MP_JAM_3,Jammu & Kashmir,Jammu,Community Hall Construction,7759000,7232070,Completed,Vendor Pvt Ltd 73,Implementing Agency 7,0.21545437023764843,0,"days_rec_to_sanction, amount_zscore_in_category, release_ratio",False
MPLADS-105406,MP_MIZ_3,Mizoram,Aizawl,Anganwadi Center Construction,1744000,0,Sanctioned,Vendor Pvt Ltd 57,Implementing Agency 3,0.2153799501921846,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-101212,MP_MAN_3,Manipur,Imphal,Anganwadi Center Construction,1663000,1573536,Completed,Vendor Pvt Ltd 55,Implementing Agency 22,0.21520477728176568,0,"desc_generic_flag, days_sanction_to_completion, amount_zscore_in_category",False
MPLADS-105684,MP_TAM_3,Tamil Nadu,Madurai,Sports Infrastructure,1618000,0,Sanctioned,Vendor Pvt Ltd 57,Implementing Agency 47,0.21520278412520802,0,"desc_generic_flag, release_ratio, days_rec_to_sanction",False
MPLADS-103216,MP_DAM_3,Daman & Diu,Diu,School Infrastructure,3291000,0,Sanctioned,Vendor Pvt Ltd 59,Implementing Agency 49,0.21493410684344944,0,"desc_generic_flag, release_ratio, days_rec_to_sanction",False
MPLADS-105487,MP_ARU_2,Arunanchal Pradesh,Tawang,Community Hall Construction,1158000,0,Sanctioned,Vendor Pvt Ltd 68,Implementing Agency 1,0.21476245327935956,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-105660,MP_MAH_2,Maharashtra,Thane,Anganwadi Center Construction,1830000,0,Sanctioned,Vendor Pvt Ltd 36,Implementing Agency 1,0.21471687028243383,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-103515,MP_ARU_2,Arunanchal Pradesh,Tawang,School Infrastructure,5792000,0,Sanctioned,Vendor Pvt Ltd 15,Implementing Agency 8,0.21471126127264042,0,"days_rec_to_sanction, amount_zscore_in_category, release_ratio",False
MPLADS-104906,MP_HAR_4,Haryana,Faridabad,Sanitation/Toilets,572000,537572,Completed,Vendor Pvt Ltd 84,Implementing Agency 57,0.21470326200568016,0,"days_sanction_to_completion, desc_generic_flag, days_rec_to_sanction",False
MPLADS-101499,MP_UTT_4,Uttarakhand,Haridwar,Sanitation/Toilets,1141000,1058125,Completed,Vendor Pvt Ltd 109,Implementing Agency 3,0.21462898142665174,0,"desc_generic_flag, days_sanction_to_completion, days_rec_to_sanction",False
MPLADS-100951,MP_BIH_1,Bihar,Bhagalpur,Solar Power Installation,1660000,1562116,Completed,Vendor Pvt Ltd 80,Implementing Agency 29,0.21458643415627068,0,"days_sanction_to_completion, desc_generic_flag, days_rec_to_sanction",False
MPLADS-104453,MP_MAH_2,Maharashtra,Aurangabad,Sports Infrastructure,4589000,1925899,In Progress,Vendor Pvt Ltd 37,Implementing Agency 46,0.2144908890141497,0,"desc_generic_flag, amount_zscore_in_category, days_rec_to_sanction",False
MPLADS-105021,MP_JAM_3,Jammu & Kashmir,Srinagar,Street Lighting,195000,193487,Completed,Vendor Pvt Ltd 10,Implementing Agency 39,0.21447882315872058,0,"desc_generic_flag, amount_zscore_in_category, days_sanction_to_completion",False
MPLADS-101433,MP_UTT_1,Uttar Pradesh,Varanasi,Irrigation Facility,1862000,1765459,Completed,Vendor Pvt Ltd 14,Implementing Agency 33,0.21439477706824503,0,"desc_generic_flag, days_rec_to_sanction, amount_zscore_in_category",False
MPLADS-100427,MP_NCT_3,NCT of Delhi,South Delhi,Anganwadi Center Construction,557000,0,Sanctioned,Vendor Pvt Ltd 58,Implementing Agency 49,0.2142514891448115,0,"days_rec_to_sanction, release_ratio, amount_zscore_in_category",False
MPLADS-101422,MP_GUJ_2,Gujarat,Rajkot,Road Construction/Repair,515000,481180,In Progress,Vendor Pvt Ltd 54,Implementing Agency 5,0.21418768133531196,0,"desc_generic_flag, amount_zscore_in_category, days_rec_to_sanction",False
MPLADS-101798,MP_MAH_2,Maharashtra,Nagpur,Anganwadi Center Construction,1789000,1744772,Completed,Vendor Pvt Ltd 74,Implementing Agency 38,0.21386051589536287,0,"desc_generic_flag, days_sanction_to_completion, amount_zscore_in_category",False
MPLADS-101535,MP_KER_1,Kerala,Thiruvananthapuram,Solar Power Installation,3290000,3107700,Completed,Vendor Pvt Ltd 106,Implementing Agency 37,0.21378196848815728,0,"desc_generic_flag, amount_zscore_in_category, days_sanction_to_completion",False
MPLADS-104895,MP_MAH_1,Maharashtra,Nagpur,Sanitation/Toilets,512000,0,Sanctioned,Vendor Pvt Ltd 22,Implementing Agency 30,0.21366623957277608,0,"desc_generic_flag, release_ratio, days_rec_to_sanction",False
MPLADS-103532,MP_NAG_3,Nagaland,Dimapur,Sanitation/Toilets,923000,875329,Completed,Vendor Pvt Ltd 33,Implementing Agency 36,0.21360083888668024,0,"days_sanction_to_completion, desc_generic_flag, days_rec_to_sanction",False
MPLADS-100442,MP_MIZ_3,Mizoram,Lunglei,Sanitation/Toilets,322000,300399,Completed,Vendor Pvt Ltd 12,Implementing Agency 45,0.21351726070708943,0,"desc_generic_flag, days_sanction_to_completion, amount_zscore_in_category",False
MPLADS-102502,MP_BIH_2,Bihar,Muzaffarpur,Sanitation/Toilets,1154000,1146693,Completed,Vendor Pvt Ltd 36,Implementing Agency 43,0.21338157357554213,1,"desc_generic_flag, days_rec_to_sanction, release_ratio",False
MPLADS-100650,MP_TAM_2,Tamil Nadu,Chennai,Anganwadi Center Construction,314000,248281,In Progress,Vendor Pvt Ltd 16,Implementing Agency 56,0.2132317005334863,0,"desc_generic_flag, amount_zscore_in_category, days_sanction_to_completion",False
MPLADS-101856,MP_AND_2,Andhra Pradesh,Vijayawada,Irrigation Facility,8419000,8360393,Completed,Vendor Pvt Ltd 30,Implementing Agency 14,0.21318790922172176,0,"days_sanction_to_completion, amount_zscore_in_category, days_rec_to_sanction",False
MPLADS-104638,MP_HIM_3,Himachal Pradesh,Manali,Drinking Water Supply,2551000,0,Sanctioned,Vendor Pvt Ltd 31,Implementing Agency 8,0.21314684999541236,0,"days_rec_to_sanction, release_ratio, days_sanction_to_completion",False
MPLADS-100144,MP_UTT_1,Uttar Pradesh,Lucknow,Street Lighting,755000,0,Sanctioned,Vendor Pvt Ltd 28,Implementing Agency 33,0.2131107557386756,0,"desc_generic_flag, release_ratio, days_rec_to_sanction",False
MPLADS-103177,MP_TEL_3,Telangana,Hyderabad,Irrigation Facility,3666000,3460690,Completed,Vendor Pvt Ltd 120,Implementing Agency 50,0.21300502828184667,0,"days_sanction_to_completion, release_ratio, amount_zscore_in_category",False
MPLADS-101628,MP_MAH_2,Maharashtra,Thane,Road Construction/Repair,1844000,596571,In Progress,Vendor Pvt Ltd 10,Implementing Agency 41,0.21273325917008337,0,"desc_generic_flag, amount_zscore_in_category, days_rec_to_sanction",False
MPLADS-105183,MP_HIM_2,Himachal Pradesh,Shimla,Sanitation/Toilets,1479000,1104267,In Progress,Vendor Pvt Ltd 84,Implementing Agency 41,0.2126611664914936,0,"desc_generic_flag, amount_zscore_in_category, days_rec_to_sanction",False
MPLADS-102316,MP_TEL_5,Telangana,Warangal,Street Lighting,1819000,0,Recommended,Vendor Pvt Ltd 102,Implementing Agency 37,0.21254696933639422,1,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-100340,MP_TEL_4,Telangana,Hyderabad,Anganwadi Center Construction,368000,185216,In Progress,Vendor Pvt Ltd 69,Implementing Agency 39,0.21240195408150714,0,"desc_generic_flag, amount_zscore_in_category, days_sanction_to_completion",False
MPLADS-105507,MP_CHH_2,Chhattisgarh,Bhilai,Health Facility Upgrade,828000,0,Sanctioned,Vendor Pvt Ltd 113,Implementing Agency 24,0.21226594925407766,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-101674,MP_LAK_2,Lakshadweep,Kavaratti,School Infrastructure,3191000,3183146,Completed,Vendor Pvt Ltd 86,Implementing Agency 52,0.2121885263369041,0,"days_rec_to_sanction, release_ratio, days_sanction_to_completion",False
MPLADS-100062,MP_NAG_1,Nagaland,Kohima,Street Lighting,225000,85142,In Progress,Vendor Pvt Ltd 26,Implementing Agency 46,0.21196045546666784,0,"desc_generic_flag, amount_zscore_in_category, days_sanction_to_completion",False
MPLADS-103133,MP_HIM_3,Himachal Pradesh,Shimla,Road Construction/Repair,1170000,0,Sanctioned,Vendor Pvt Ltd 50,Implementing Agency 1,0.21193810580181016,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-103794,MP_UTT_1,Uttar Pradesh,Kanpur,Health Facility Upgrade,5633000,2860974,In Progress,Vendor Pvt Ltd 3,Implementing Agency 48,0.2117137457642303,0,"desc_generic_flag, days_rec_to_sanction, amount_zscore_in_category",False
MPLADS-102414,MP_AND_3,Andhra Pradesh,Vijayawada,Sanitation/Toilets,675000,672939,Completed,Vendor Pvt Ltd 79,Implementing Agency 43,0.21160370221267424,1,"days_sanction_to_completion, desc_generic_flag, release_ratio",False
MPLADS-104993,MP_JAM_4,Jammu & Kashmir,Jammu,Sanitation/Toilets,377000,0,Sanctioned,Vendor Pvt Ltd 10,Implementing Agency 59,0.2114460805246395,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-102431,MP_AND_3,Andhra Pradesh,Vijayawada,Street Lighting,1553000,0,Recommended,Vendor Pvt Ltd 91,Implementing Agency 29,0.21143500526126724,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-103889,MP_SIK_2,Sikkim,Gangtok,Railway Halt Amenities,6771000,3502393,In Progress,Vendor Pvt Ltd 34,Implementing Agency 2,0.21140040471117097,0,"desc_generic_flag, days_rec_to_sanction, days_sanction_to_completion",False
MPLADS-103706,MP_KAR_1,Karnataka,Hubli,Drinking Water Supply,4202000,0,Sanctioned,Vendor Pvt Ltd 50,Implementing Agency 53,0.2113334426838219,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-105654,MP_HIM_4,Himachal Pradesh,Shimla,Community Hall Construction,1020000,991564,Completed,Vendor Pvt Ltd 83,Implementing Agency 9,0.2113166379068473,0,"days_sanction_to_completion, amount_zscore_in_category, release_ratio",False
MPLADS-103150,MP_UTT_1,Uttar Pradesh,Lucknow,Drinking Water Supply,1751000,0,Sanctioned,Vendor Pvt Ltd 19,Implementing Agency 50,0.21114216578311196,0,"desc_generic_flag, release_ratio, days_rec_to_sanction",False
MPLADS-100464,MP_CHH_2,Chhattisgarh,Raipur,Health Facility Upgrade,4810000,0,Sanctioned,Vendor Pvt Ltd 6,Implementing Agency 53,0.21109751656530495,0,"desc_generic_flag, release_ratio, days_rec_to_sanction",False
MPLADS-104181,MP_JAM_4,Jammu & Kashmir,Jammu,Solar Power Installation,2255000,2105906,Completed,Vendor Pvt Ltd 34,Implementing Agency 59,0.2110382305253891,0,"days_sanction_to_completion, release_ratio, desc_generic_flag",False
MPLADS-104005,MP_RAJ_5,Rajasthan,Kota,School Infrastructure,577000,255385,In Progress,Vendor Pvt Ltd 39,Implementing Agency 15,0.21097137640121444,0,"desc_generic_flag, amount_zscore_in_category, days_sanction_to_completion",False
MPLADS-101629,MP_MAH_2,Maharashtra,Pune,Sports Infrastructure,1210000,0,Recommended,Vendor Pvt Ltd 28,Implementing Agency 38,0.21071866398153233,0,"desc_generic_flag, release_ratio, days_rec_to_sanction",False
MPLADS-100390,MP_CHH_1,Chhattisgarh,Raipur,Drinking Water Supply,464000,0,Sanctioned,Vendor Pvt Ltd 52,Implementing Agency 53,0.21048577144937888,0,"amount_zscore_in_category, days_rec_to_sanction, release_ratio",False
MPLADS-101261,MP_MAH_1,Maharashtra,Nagpur,Road Construction/Repair,6759000,3379500,In Progress,Vendor Pvt Ltd 111,Implementing Agency 55,0.21042413201283203,0,"desc_generic_flag, days_rec_to_sanction, days_sanction_to_completion",False
MPLADS-102053,MP_TAM_3,Tamil Nadu,Chennai,Solar Power Installation,3209000,0,Sanctioned,Vendor Pvt Ltd 113,Implementing Agency 8,0.2101541153868489,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
MPLADS-100056,MP_ODI_2,Odisha,Bhubaneswar,Health Facility Upgrade,6701000,0,Recommended,Vendor Pvt Ltd 18,Implementing Agency 28,0.21001237381250085,0,"desc_generic_flag, release_ratio, amount_zscore_in_category",False
