work_id,mp_name,house,state,constituency,district,work_category,work_description,is_sc_st_area,sanctioned_amount,released_amount,recommendation_date,sanction_date,completion_date,status,implementing_agency,vendor,photo_count,is_anomaly,anomaly_type
MPLADS-105808,MP_RAJ_4,Rajya Sabha,Rajasthan,Rajasthan (RS),Udaipur,Street Lighting,Construction of Street Lighting at Udaipur,True,1551711,298051,2024-01-10,2024-02-08,,In Progress,Implementing Agency 51,Vendor Pvt Ltd 1,0,True,vendor_over_concentration
MPLADS-100810,MP_PUD_4,Lok Sabha,Puducherry,Puducherry PC-4,Karaikal,School Infrastructure,Upgradation of School Infrastructure facility in Karaikal,False,2598548,1445633,2023-04-25,2023-06-22,2023-12-01,Completed,Implementing Agency 30,Vendor Pvt Ltd 1,3,True,vendor_over_concentration
MPLADS-104915,MP_GOA_4,Lok Sabha,Goa,Goa PC-4,South Goa,Sports Infrastructure,Construction of Sports Infrastructure at South Goa,False,5185061,3296063,2023-09-29,2023-10-24,2023-12-27,Completed,Implementing Agency 58,Vendor Pvt Ltd 1,0,True,vendor_over_concentration
MPLADS-104953,MP_UTT_1,Rajya Sabha,Uttar Pradesh,Uttar Pradesh (RS),Agra,Health Facility Upgrade,Construction of Health Facility Upgrade at Agra,False,3107262,0,2024-03-07,2024-03-30,,Sanctioned,Implementing Agency 19,Vendor Pvt Ltd 1,1,True,vendor_over_concentration
MPLADS-103733,MP_LAK_4,Lok Sabha,Lakshadweep,Lakshadweep PC-4,Kavaratti,Irrigation Facility,Providing Irrigation Facility for public use at Kavaratti,False,5684209,1251883,2024-07-20,2024-08-20,,In Progress,Implementing Agency 48,Vendor Pvt Ltd 1,0,True,vendor_over_concentration
MPLADS-105163,MP_NAG_1,Lok Sabha,Nagaland,Nagaland PC-1,Dimapur,Irrigation Facility,Providing Irrigation Facility for public use at Dimapur,False,5332081,3573330,2023-09-28,2023-11-29,2024-04-16,Completed,Implementing Agency 33,Vendor Pvt Ltd 1,3,True,vendor_over_concentration
MPLADS-102977,MP_MAD_2,Lok Sabha,Madhya Pradesh,Madhya Pradesh PC-2,Bhopal,Irrigation Facility,Repair and renovation of Irrigation Facility at Bhopal,False,5683249,3180349,2024-03-13,2024-04-02,2024-06-29,Completed,Implementing Agency 12,Vendor Pvt Ltd 1,1,True,vendor_over_concentration
MPLADS-103795,MP_JHA_2,Lok Sabha,Jharkhand,Jharkhand PC-2,Ranchi,Health Facility Upgrade,Construction of Health Facility Upgrade at Ranchi,False,8724650,2464412,2024-07-02,2024-07-27,,In Progress,Implementing Agency 11,Vendor Pvt Ltd 1,1,True,vendor_over_concentration
MPLADS-102168,MP_CHH_2,Lok Sabha,Chhattisgarh,Chhattisgarh PC-2,Bhilai,Sports Infrastructure,Repair and renovation of Sports Infrastructure at Bhilai,False,2524614,847470,2024-03-19,2024-03-20,,In Progress,Implementing Agency 13,Vendor Pvt Ltd 1,0,True,vendor_over_concentration
MPLADS-103077,MP_CHA_1,Lok Sabha,Chandigarh,Chandigarh PC-1,Chandigarh,Solar Power Installation,Upgradation of Solar Power Installation facility in Chandigarh,False,4078982,1104108,2023-06-06,2023-08-18,,In Progress,Implementing Agency 13,Vendor Pvt Ltd 1,1,True,vendor_over_concentration
MPLADS-101694,MP_TRI_5,Rajya Sabha,Tripura,Tripura (RS),Agartala,Anganwadi Center Construction,Providing Anganwadi Center Construction for public use at Agartala,False,1122260,634115,2023-11-22,2023-12-12,2024-06-25,Completed,Implementing Agency 34,Vendor Pvt Ltd 1,4,True,vendor_over_concentration
MPLADS-101024,MP_TEL_5,Rajya Sabha,Telangana,Telangana (RS),Warangal,Health Facility Upgrade,Upgradation of Health Facility Upgrade facility in Warangal,True,3560092,0,2023-04-09,2023-05-02,,Sanctioned,Implementing Agency 24,Vendor Pvt Ltd 1,2,True,vendor_over_concentration
MPLADS-103946,MP_JAM_1,Rajya Sabha,Jammu & Kashmir,Jammu & Kashmir (RS),Srinagar,CCTV Installation,Providing CCTV Installation for public use at Srinagar,False,1225457,465975,2023-12-20,2024-01-15,,In Progress,Implementing Agency 44,Vendor Pvt Ltd 1,3,True,vendor_over_concentration
MPLADS-102124,MP_NAG_2,Lok Sabha,Nagaland,Nagaland PC-2,Kohima,Anganwadi Center Construction,Upgradation of Anganwadi Center Construction facility in Kohima,False,2487767,0,2023-10-17,2023-11-23,,Sanctioned,Implementing Agency 47,Vendor Pvt Ltd 1,1,True,vendor_over_concentration
MPLADS-105294,MP_WES_2,Lok Sabha,West Bengal,West Bengal PC-2,Kolkata,Irrigation Facility,Installation of Irrigation Facility in ward area Kolkata,False,6962413,3881749,2023-05-21,2023-06-24,,In Progress,Implementing Agency 4,Vendor Pvt Ltd 1,1,True,vendor_over_concentration
MPLADS-102704,MP_RAJ_5,Lok Sabha,Rajasthan,Rajasthan PC-5,Jaipur,Anganwadi Center Construction,Upgradation of Anganwadi Center Construction facility in Jaipur,False,2737946,1619121,2023-04-13,2023-05-16,2023-09-14,Completed,Implementing Agency 43,Vendor Pvt Ltd 1,2,True,vendor_over_concentration
MPLADS-101033,MP_MAD_1,Rajya Sabha,Madhya Pradesh,Madhya Pradesh (RS),Indore,Drinking Water Supply,Construction of Drinking Water Supply at Indore,False,3195202,0,2024-03-08,2024-03-20,,Recommended,Implementing Agency 37,Vendor Pvt Ltd 1,0,True,vendor_over_concentration
MPLADS-105871,MP_AND_1,Lok Sabha,Andhra Pradesh,Andhra Pradesh PC-1,Visakhapatnam,Community Hall Construction,Installation of Community Hall Construction in ward area Visakhapatnam,True,10515783,5052870,2023-07-07,2023-09-19,,In Progress,Implementing Agency 23,Vendor Pvt Ltd 1,0,True,vendor_over_concentration
MPLADS-105364,MP_JAM_2,Rajya Sabha,Jammu & Kashmir,Jammu & Kashmir (RS),Jammu,Health Facility Upgrade,Upgradation of Health Facility Upgrade facility in Jammu,False,3154957,1076854,2023-09-05,2023-10-05,,In Progress,Implementing Agency 15,Vendor Pvt Ltd 1,0,True,vendor_over_concentration
MPLADS-104159,MP_JHA_2,Lok Sabha,Jharkhand,Jharkhand PC-2,Jamshedpur,School Infrastructure,Repair and renovation of School Infrastructure at Jamshedpur,False,9453204,5273929,2024-04-21,2024-05-06,2024-07-16,Completed,Implementing Agency 14,Vendor Pvt Ltd 1,2,True,vendor_over_concentration
MPLADS-101700,MP_KER_1,Lok Sabha,Kerala,Kerala PC-1,Kozhikode,Community Hall Construction,Repair and renovation of Community Hall Construction at Kozhikode,False,11789797,0,2024-03-24,2024-05-07,,Recommended,Implementing Agency 18,Vendor Pvt Ltd 1,1,True,vendor_over_concentration
MPLADS-102913,MP_MAH_2,Rajya Sabha,Maharashtra,Maharashtra (RS),Nagpur,Railway Halt Amenities,Providing Railway Halt Amenities for public use at Nagpur,False,14356026,5198637,2023-09-20,2023-09-25,,In Progress,Implementing Agency 60,Vendor Pvt Ltd 1,0,True,vendor_over_concentration
MPLADS-104878,MP_TRI_1,Rajya Sabha,Tripura,Tripura (RS),Agartala,Sanitation/Toilets,Construction of Sanitation/Toilets at Agartala,False,544401,301669,2023-11-24,2024-01-05,,In Progress,Implementing Agency 46,Vendor Pvt Ltd 1,1,True,vendor_over_concentration
MPLADS-103320,MP_KER_1,Lok Sabha,Kerala,Kerala PC-1,Kochi,Railway Halt Amenities,Repair and renovation of Railway Halt Amenities at Kochi,False,1651988,0,2024-06-26,2024-08-08,,Recommended,Implementing Agency 41,Vendor Pvt Ltd 1,0,True,vendor_over_concentration
MPLADS-105026,MP_CHA_2,Rajya Sabha,Chandigarh,Chandigarh (RS),Chandigarh,Railway Halt Amenities,Providing Railway Halt Amenities for public use at Chandigarh,False,5957584,4177577,2023-04-25,2023-06-24,2023-08-29,Completed,Implementing Agency 9,Vendor Pvt Ltd 1,1,True,vendor_over_concentration
MPLADS-102582,MP_PUD_1,Lok Sabha,Puducherry,Puducherry PC-1,Karaikal,Community Hall Construction,Installation of Community Hall Construction in ward area Karaikal,True,13254266,7073897,2023-09-25,2023-11-19,2024-06-17,Completed,Implementing Agency 48,Vendor Pvt Ltd 1,3,True,vendor_over_concentration
MPLADS-105283,MP_PUD_3,Lok Sabha,Puducherry,Puducherry PC-3,Puducherry,CCTV Installation,Installation of CCTV Installation in ward area Puducherry,False,1968163,0,2023-07-17,2023-08-12,,Sanctioned,Implementing Agency 9,Vendor Pvt Ltd 1,1,True,vendor_over_concentration
MPLADS-104250,MP_MEG_1,Lok Sabha,Meghalaya,Meghalaya PC-1,Tura,Anganwadi Center Construction,Construction of Anganwadi Center Construction at Tura,False,3019130,1744955,2024-06-04,2024-08-19,2025-04-15,Completed,Implementing Agency 52,Vendor Pvt Ltd 1,1,True,vendor_over_concentration
MPLADS-101186,MP_DAD_2,Lok Sabha,Dadara & Nagar Havelli,Dadara & Nagar Havelli PC-2,Silvassa,Street Lighting,General development work as per local requirement,True,1615000,1488493,2024-04-21,2024-05-29,2024-09-21,Completed,Implementing Agency 15,Vendor Pvt Ltd 49,5,True,duplicate_generic_description
MPLADS-103737,MP_KAR_3,Lok Sabha,Karnataka,Karnataka PC-3,Belagavi,Railway Halt Amenities,Community asset creation work,False,4091000,2815409,2024-05-15,2024-07-16,,In Progress,Implementing Agency 28,Vendor Pvt Ltd 60,1,True,duplicate_generic_description
MPLADS-100783,MP_MAH_1,Rajya Sabha,Maharashtra,Maharashtra (RS),Aurangabad,Drinking Water Supply,General development work as per local requirement,False,3824000,0,2023-08-12,2023-08-26,,Recommended,Implementing Agency 41,Vendor Pvt Ltd 7,3,True,duplicate_generic_description
MPLADS-104402,MP_RAJ_4,Rajya Sabha,Rajasthan,Rajasthan (RS),Jaipur,Solar Power Installation,Infrastructure work for public welfare,False,1604000,513094,2023-04-30,2023-05-23,,In Progress,Implementing Agency 30,Vendor Pvt Ltd 27,0,True,duplicate_generic_description
MPLADS-100050,MP_TAM_1,Rajya Sabha,Tamil Nadu,Tamil Nadu (RS),Salem,Railway Halt Amenities,Infrastructure work for public welfare,False,3388000,0,2024-06-24,2024-07-13,,Recommended,Implementing Agency 19,Vendor Pvt Ltd 31,2,True,duplicate_generic_description
MPLADS-100712,MP_PUN_4,Rajya Sabha,Punjab,Punjab (RS),Ludhiana,Street Lighting,Community asset creation work,False,1109000,1065448,2024-08-21,2024-09-11,2024-11-22,Completed,Implementing Agency 24,Vendor Pvt Ltd 58,3,True,duplicate_generic_description
MPLADS-102306,MP_HIM_4,Lok Sabha,Himachal Pradesh,Himachal Pradesh PC-4,Manali,Road Construction/Repair,Community asset creation work,False,9280000,9169732,2023-06-26,2023-07-06,2024-03-20,Completed,Implementing Agency 33,Vendor Pvt Ltd 115,3,True,duplicate_generic_description
MPLADS-103867,MP_JAM_3,Lok Sabha,Jammu & Kashmir,Jammu & Kashmir PC-3,Srinagar,Community Hall Construction,Community asset creation work,False,2975000,2444606,2024-08-01,2024-08-22,,In Progress,Implementing Agency 16,Vendor Pvt Ltd 3,1,True,duplicate_generic_description
MPLADS-102446,MP_ODI_3,Lok Sabha,Odisha,Odisha PC-3,Bhubaneswar,Railway Halt Amenities,General development work as per local requirement,False,1381000,0,2023-09-01,2023-11-02,,Sanctioned,Implementing Agency 15,Vendor Pvt Ltd 40,3,True,duplicate_generic_description
MPLADS-102240,MP_CHH_1,Rajya Sabha,Chhattisgarh,Chhattisgarh (RS),Bhilai,Solar Power Installation,General development work as per local requirement,False,3096000,0,2024-08-17,2024-09-09,,Sanctioned,Implementing Agency 52,Vendor Pvt Ltd 51,3,True,duplicate_generic_description
MPLADS-104603,MP_SIK_1,Lok Sabha,Sikkim,Sikkim PC-1,Namchi,Railway Halt Amenities,General development work as per local requirement,False,1915000,1884874,2024-06-10,2024-07-06,2024-12-06,Completed,Implementing Agency 59,Vendor Pvt Ltd 61,2,True,duplicate_generic_description
MPLADS-104790,MP_TAM_2,Lok Sabha,Tamil Nadu,Tamil Nadu PC-2,Madurai,Railway Halt Amenities,General development work as per local requirement,True,8697000,8133565,2023-05-13,2023-06-07,2023-10-13,Completed,Implementing Agency 58,Vendor Pvt Ltd 46,1,True,duplicate_generic_description
MPLADS-103103,MP_NCT_3,Lok Sabha,NCT of Delhi,NCT of Delhi PC-3,South Delhi,Sanitation/Toilets,Infrastructure work for public welfare,False,1489000,1421435,2024-07-22,2024-08-10,2025-02-19,Completed,Implementing Agency 37,Vendor Pvt Ltd 77,4,True,duplicate_generic_description
MPLADS-105566,MP_BIH_2,Lok Sabha,Bihar,Bihar PC-2,Bhagalpur,Railway Halt Amenities,Infrastructure work for public welfare,False,2547000,2415500,2024-03-26,2024-04-17,2024-06-07,Completed,Implementing Agency 40,Vendor Pvt Ltd 16,0,True,duplicate_generic_description
MPLADS-100676,MP_DAD_3,Rajya Sabha,Dadara & Nagar Havelli,Dadara & Nagar Havelli (RS),Silvassa,Road Construction/Repair,Community asset creation work,True,3085000,2962373,2023-04-27,2023-06-15,2023-10-31,Completed,Implementing Agency 40,Vendor Pvt Ltd 79,8,True,duplicate_generic_description
MPLADS-105556,MP_AND_1,Lok Sabha,Andhra Pradesh,Andhra Pradesh PC-1,Visakhapatnam,Health Facility Upgrade,Infrastructure work for public welfare,False,2517000,2324054,2023-05-02,2023-05-12,2023-07-30,Completed,Implementing Agency 12,Vendor Pvt Ltd 100,2,True,duplicate_generic_description
MPLADS-103639,MP_AND_2,Lok Sabha,Andhra Pradesh,Andhra Pradesh PC-2,Visakhapatnam,Railway Halt Amenities,General development work as per local requirement,False,1201000,1116648,2023-12-30,2024-01-03,2024-05-02,Completed,Implementing Agency 40,Vendor Pvt Ltd 64,2,True,duplicate_generic_description
MPLADS-102694,MP_UTT_4,Lok Sabha,Uttarakhand,Uttarakhand PC-4,Haridwar,Library/Reading Room,General development work as per local requirement,False,1142000,644331,2024-08-15,2024-09-08,,In Progress,Implementing Agency 46,Vendor Pvt Ltd 74,1,True,duplicate_generic_description
MPLADS-102995,MP_WES_5,Rajya Sabha,West Bengal,West Bengal (RS),Malda,School Infrastructure,General development work as per local requirement,True,2496000,1456264,2024-03-19,2024-05-19,,In Progress,Implementing Agency 38,Vendor Pvt Ltd 117,1,True,duplicate_generic_description
MPLADS-101562,MP_BIH_1,Lok Sabha,Bihar,Bihar PC-1,Gaya,Community Hall Construction,Community asset creation work,False,3509000,0,2024-06-21,2024-07-08,,Recommended,Implementing Agency 16,Vendor Pvt Ltd 20,0,True,duplicate_generic_description
MPLADS-103649,MP_LAK_2,Lok Sabha,Lakshadweep,Lakshadweep PC-2,Kavaratti,School Infrastructure,Infrastructure work for public welfare,False,2864000,2761853,2023-04-24,2023-05-10,2023-07-29,Completed,Implementing Agency 7,Vendor Pvt Ltd 103,2,True,duplicate_generic_description
MPLADS-102465,MP_RAJ_5,Lok Sabha,Rajasthan,Rajasthan PC-5,Jaipur,Road Construction/Repair,Infrastructure work for public welfare,False,8707000,8137630,2024-04-03,2024-04-21,2024-07-18,Completed,Implementing Agency 46,Vendor Pvt Ltd 26,4,True,duplicate_generic_description
MPLADS-100346,MP_TRI_3,Rajya Sabha,Tripura,Tripura (RS),Agartala,Anganwadi Center Construction,Infrastructure work for public welfare,False,1273000,1174392,2023-11-10,2024-01-14,2024-07-27,Completed,Implementing Agency 53,Vendor Pvt Ltd 28,1,True,duplicate_generic_description
MPLADS-101496,MP_WES_5,Rajya Sabha,West Bengal,West Bengal (RS),Darjeeling,School Infrastructure,Infrastructure work for public welfare,False,1360000,1280835,2023-04-21,2023-05-22,2023-08-18,Completed,Implementing Agency 2,Vendor Pvt Ltd 103,3,True,duplicate_generic_description
MPLADS-102344,MP_LAK_3,Lok Sabha,Lakshadweep,Lakshadweep PC-3,Kavaratti,Solar Power Installation,Infrastructure work for public welfare,False,1128000,1041032,2024-02-13,2024-03-14,,In Progress,Implementing Agency 49,Vendor Pvt Ltd 41,2,True,duplicate_generic_description
MPLADS-103905,MP_BIH_2,Lok Sabha,Bihar,Bihar PC-2,Patna,Road Construction/Repair,Infrastructure work for public welfare,True,4486000,4280714,2024-05-20,2024-05-28,2024-09-22,Completed,Implementing Agency 19,Vendor Pvt Ltd 53,3,True,duplicate_generic_description
MPLADS-103658,MP_KAR_1,Lok Sabha,Karnataka,Karnataka PC-1,Mysuru,Library/Reading Room,General development work as per local requirement,False,607000,595059,2023-09-16,2023-09-20,2024-03-06,Completed,Implementing Agency 58,Vendor Pvt Ltd 1,3,True,duplicate_generic_description
MPLADS-100622,MP_JHA_3,Lok Sabha,Jharkhand,Jharkhand PC-3,Ranchi,Library/Reading Room,Infrastructure work for public welfare,False,2148000,0,2023-07-25,2023-09-05,,Sanctioned,Implementing Agency 28,Vendor Pvt Ltd 42,2,True,duplicate_generic_description
MPLADS-104096,MP_ASS_1,Rajya Sabha,Assam,Assam (RS),Silchar,Railway Halt Amenities,Community asset creation work,False,8269000,4660700,2024-01-17,2024-02-15,,In Progress,Implementing Agency 56,Vendor Pvt Ltd 112,1,True,duplicate_generic_description
MPLADS-101400,MP_AND_2,Lok Sabha,Andhra Pradesh,Andhra Pradesh PC-2,Vijayawada,Sports Infrastructure,Community asset creation work,True,720000,0,2024-05-03,2024-06-23,,Recommended,Implementing Agency 20,Vendor Pvt Ltd 5,2,True,duplicate_generic_description
MPLADS-103297,MP_NAG_3,Rajya Sabha,Nagaland,Nagaland (RS),Kohima,Sanitation/Toilets,General development work as per local requirement,False,492000,175724,2024-02-17,2024-04-27,,In Progress,Implementing Agency 55,Vendor Pvt Ltd 75,1,True,duplicate_generic_description
MPLADS-103985,MP_TEL_4,Lok Sabha,Telangana,Telangana PC-4,Warangal,Sanitation/Toilets,Community asset creation work,False,1461000,1351885,2024-06-19,2024-07-30,2024-10-08,Completed,Implementing Agency 30,Vendor Pvt Ltd 58,2,True,duplicate_generic_description
MPLADS-105181,MP_UTT_4,Lok Sabha,Uttarakhand,Uttarakhand PC-4,Dehradun,Community Hall Construction,Community asset creation work,False,6070000,0,2024-07-26,2024-09-27,,Sanctioned,Implementing Agency 56,Vendor Pvt Ltd 18,0,True,duplicate_generic_description
MPLADS-104617,MP_MAN_3,Lok Sabha,Manipur,Manipur PC-3,Thoubal,Solar Power Installation,Infrastructure work for public welfare,False,2372000,2360784,2023-08-07,2023-09-11,2024-02-02,Completed,Implementing Agency 16,Vendor Pvt Ltd 70,5,True,duplicate_generic_description
MPLADS-100324,MP_TEL_2,Lok Sabha,Telangana,Telangana PC-2,Warangal,Railway Halt Amenities,General development work as per local requirement,True,5031000,1541932,2024-06-16,2024-09-14,,In Progress,Implementing Agency 48,Vendor Pvt Ltd 79,2,True,duplicate_generic_description
MPLADS-102997,MP_TRI_5,Rajya Sabha,Tripura,Tripura (RS),Dharmanagar,Irrigation Facility,Community asset creation work,False,7095000,6608135,2024-08-20,2024-09-05,,In Progress,Implementing Agency 12,Vendor Pvt Ltd 48,2,True,duplicate_generic_description
MPLADS-100037,MP_UTT_3,Lok Sabha,Uttarakhand,Uttarakhand PC-3,Dehradun,Street Lighting,Infrastructure work for public welfare,True,1338000,0,2024-06-20,2024-07-23,,Recommended,Implementing Agency 60,Vendor Pvt Ltd 104,1,True,duplicate_generic_description
MPLADS-105374,MP_NCT_1,Lok Sabha,NCT of Delhi,NCT of Delhi PC-1,New Delhi,Street Lighting,Infrastructure work for public welfare,False,1200000,1147767,2024-08-09,2024-09-11,2025-01-19,Completed,Implementing Agency 9,Vendor Pvt Ltd 3,5,True,duplicate_generic_description
MPLADS-104184,MP_ODI_3,Lok Sabha,Odisha,Odisha PC-3,Cuttack,Street Lighting,General development work as per local requirement,False,1757000,1720400,2024-03-28,2024-04-13,2024-06-18,Completed,Implementing Agency 51,Vendor Pvt Ltd 55,1,True,duplicate_generic_description
MPLADS-100530,MP_RAJ_5,Lok Sabha,Rajasthan,Rajasthan PC-5,Udaipur,Community Hall Construction,General development work as per local requirement,False,2663000,0,2024-09-06,2024-09-27,,Sanctioned,Implementing Agency 12,Vendor Pvt Ltd 29,0,True,duplicate_generic_description
MPLADS-102642,MP_UTT_1,Rajya Sabha,Uttar Pradesh,Uttar Pradesh (RS),Kanpur,CCTV Installation,General development work as per local requirement,False,935000,593247,2023-08-20,2023-10-29,,In Progress,Implementing Agency 14,Vendor Pvt Ltd 40,2,True,duplicate_generic_description
MPLADS-103680,MP_PUN_2,Rajya Sabha,Punjab,Punjab (RS),Ludhiana,Solar Power Installation,General development work as per local requirement,False,3353000,2537256,2024-03-23,2024-04-20,,In Progress,Implementing Agency 48,Vendor Pvt Ltd 81,2,True,duplicate_generic_description
MPLADS-102348,MP_GOA_1,Lok Sabha,Goa,Goa PC-1,North Goa,School Infrastructure,Community asset creation work,False,2650000,945844,2024-04-01,2024-05-08,,In Progress,Implementing Agency 51,Vendor Pvt Ltd 115,3,True,duplicate_generic_description
MPLADS-102784,MP_DAD_2,Lok Sabha,Dadara & Nagar Havelli,Dadara & Nagar Havelli PC-2,Silvassa,Irrigation Facility,Infrastructure work for public welfare,False,3449000,1704704,2023-06-11,2023-09-10,,In Progress,Implementing Agency 45,Vendor Pvt Ltd 42,1,True,duplicate_generic_description
MPLADS-105492,MP_PUD_2,Lok Sabha,Puducherry,Puducherry PC-2,Karaikal,Solar Power Installation,General development work as per local requirement,False,2947000,0,2023-08-05,2023-09-05,,Recommended,Implementing Agency 51,Vendor Pvt Ltd 27,0,True,duplicate_generic_description
MPLADS-102225,MP_LAK_3,Lok Sabha,Lakshadweep,Lakshadweep PC-3,Kavaratti,Railway Halt Amenities,Community asset creation work,False,4998000,4928819,2024-01-25,2024-03-08,2024-07-03,Completed,Implementing Agency 10,Vendor Pvt Ltd 96,5,True,duplicate_generic_description
MPLADS-101073,MP_SIK_1,Lok Sabha,Sikkim,Sikkim PC-1,Namchi,Solar Power Installation,Community asset creation work,False,1744000,1674575,2024-03-14,2024-04-04,2024-07-17,Completed,Implementing Agency 21,Vendor Pvt Ltd 109,3,True,duplicate_generic_description
MPLADS-101197,MP_RAJ_1,Lok Sabha,Rajasthan,Rajasthan PC-1,Kota,Solar Power Installation,Infrastructure work for public welfare,False,1394000,0,2024-03-19,2024-05-30,,Sanctioned,Implementing Agency 48,Vendor Pvt Ltd 85,2,True,duplicate_generic_description
MPLADS-105138,MP_PUN_2,Rajya Sabha,Punjab,Punjab (RS),Amritsar,Health Facility Upgrade,General development work as per local requirement,False,1060000,0,2023-05-23,2023-06-21,,Sanctioned,Implementing Agency 48,Vendor Pvt Ltd 13,0,True,duplicate_generic_description
MPLADS-100263,MP_LAK_3,Lok Sabha,Lakshadweep,Lakshadweep PC-3,Kavaratti,Solar Power Installation,Community asset creation work,True,1323000,1265602,2023-06-01,2023-07-07,2023-11-24,Completed,Implementing Agency 5,Vendor Pvt Ltd 120,2,True,duplicate_generic_description
MPLADS-101729,MP_JAM_2,Rajya Sabha,Jammu & Kashmir,Jammu & Kashmir (RS),Srinagar,Anganwadi Center Construction,General development work as per local requirement,False,684000,0,2023-08-10,2023-08-29,,Recommended,Implementing Agency 59,Vendor Pvt Ltd 101,0,True,duplicate_generic_description
MPLADS-105328,MP_JHA_2,Lok Sabha,Jharkhand,Jharkhand PC-2,Ranchi,Sports Infrastructure,Providing Sports Infrastructure for public use at Ranchi,False,1499000,550563,2024-03-19,2024-04-14,,Completed,Implementing Agency 16,Vendor Pvt Ltd 3,0,True,no_photo_evidence
MPLADS-100907,MP_UTT_3,Lok Sabha,Uttarakhand,Uttarakhand PC-3,Dehradun,Irrigation Facility,Providing Irrigation Facility for public use at Dehradun,False,8677000,4899527,2024-06-27,2024-08-26,,Completed,Implementing Agency 59,Vendor Pvt Ltd 51,0,True,no_photo_evidence
MPLADS-101335,MP_LAK_3,Lok Sabha,Lakshadweep,Lakshadweep PC-3,Kavaratti,Sanitation/Toilets,Providing Sanitation/Toilets for public use at Kavaratti,False,1054000,1050704,2023-11-07,2023-12-28,2024-02-15,Completed,Implementing Agency 24,Vendor Pvt Ltd 19,0,True,no_photo_evidence
MPLADS-101393,MP_UTT_2,Lok Sabha,Uttarakhand,Uttarakhand PC-2,Dehradun,Street Lighting,Upgradation of Street Lighting facility in Dehradun,False,1182000,1180139,2023-04-07,2023-05-26,2024-01-12,Completed,Implementing Agency 40,Vendor Pvt Ltd 89,0,True,no_photo_evidence
MPLADS-100960,MP_LAK_2,Lok Sabha,Lakshadweep,Lakshadweep PC-2,Kavaratti,Solar Power Installation,Installation of Solar Power Installation in ward area Kavaratti,False,2941000,0,2024-01-23,2024-01-30,,Completed,Implementing Agency 26,Vendor Pvt Ltd 63,0,True,no_photo_evidence
MPLADS-100239,MP_TAM_1,Rajya Sabha,Tamil Nadu,Tamil Nadu (RS),Madurai,Solar Power Installation,Providing Solar Power Installation for public use at Madurai,True,1734000,1238052,2024-08-13,2024-08-29,,Completed,Implementing Agency 23,Vendor Pvt Ltd 72,0,True,no_photo_evidence
MPLADS-100199,MP_ODI_1,Lok Sabha,Odisha,Odisha PC-1,Cuttack,Street Lighting,Providing Street Lighting for public use at Cuttack,False,265000,0,2023-05-29,2023-06-24,,Completed,Implementing Agency 41,Vendor Pvt Ltd 52,0,True,no_photo_evidence
MPLADS-102417,MP_MEG_3,Lok Sabha,Meghalaya,Meghalaya PC-3,Shillong,Health Facility Upgrade,Upgradation of Health Facility Upgrade facility in Shillong,False,1735000,0,2024-06-19,2024-07-19,,Completed,Implementing Agency 28,Vendor Pvt Ltd 58,0,True,no_photo_evidence
MPLADS-105469,MP_AND_3,Lok Sabha,Andhra Pradesh,Andhra Pradesh PC-3,Vijayawada,School Infrastructure,Construction of School Infrastructure at Vijayawada,False,4252000,4234941,2024-09-07,2024-10-08,2025-03-14,Completed,Implementing Agency 58,Vendor Pvt Ltd 79,0,True,no_photo_evidence
MPLADS-104310,MP_NCT_1,Lok Sabha,NCT of Delhi,NCT of Delhi PC-1,New Delhi,Railway Halt Amenities,Providing Railway Halt Amenities for public use at New Delhi,False,3020000,2823911,2024-03-22,2024-05-12,2024-09-04,Completed,Implementing Agency 3,Vendor Pvt Ltd 63,0,True,no_photo_evidence
MPLADS-104714,MP_AND_2,Rajya Sabha,Andaman & Nicobar Island,Andaman & Nicobar Island (RS),Port Blair,Health Facility Upgrade,Upgradation of Health Facility Upgrade facility in Port Blair,True,4709000,4552372,2024-06-25,2024-08-04,2024-11-30,Completed,Implementing Agency 5,Vendor Pvt Ltd 33,0,True,no_photo_evidence
MPLADS-105790,MP_LAK_1,Rajya Sabha,Lakshadweep,Lakshadweep (RS),Kavaratti,Sports Infrastructure,Installation of Sports Infrastructure in ward area Kavaratti,False,2742000,2726894,2023-06-27,2023-07-18,2024-04-26,Completed,Implementing Agency 8,Vendor Pvt Ltd 113,0,True,no_photo_evidence
MPLADS-100325,MP_MAD_1,Rajya Sabha,Madhya Pradesh,Madhya Pradesh (RS),Indore,Health Facility Upgrade,Construction of Health Facility Upgrade at Indore,True,5839000,0,2023-11-06,2023-12-06,,Completed,Implementing Agency 49,Vendor Pvt Ltd 91,0,True,no_photo_evidence
MPLADS-102677,MP_MAD_1,Rajya Sabha,Madhya Pradesh,Madhya Pradesh (RS),Indore,Street Lighting,Providing Street Lighting for public use at Indore,False,1006000,988152,2023-11-22,2024-01-21,2024-04-10,Completed,Implementing Agency 41,Vendor Pvt Ltd 28,0,True,no_photo_evidence
MPLADS-105823,MP_TAM_2,Lok Sabha,Tamil Nadu,Tamil Nadu PC-2,Coimbatore,Library/Reading Room,Repair and renovation of Library/Reading Room at Coimbatore,False,1860000,1768657,2023-07-07,2023-08-07,2024-04-21,Completed,Implementing Agency 56,Vendor Pvt Ltd 37,0,True,no_photo_evidence
